sentiment,content
sadness,layin n bed headache ughhhhwaitin
sadness,funeral ceremonygloomy friday
neutral,want trade houston tickets
worry,repinging didnt prom bc bf didnt like friends
sadness,sleep im thinking old friend want hes married damn amp wants 2 scandalous
worry,hmmm
sadness,charlene love miss
sadness,im sorry friday
neutral,fall asleep
worry,choked retainers
sadness,ugh beat stupid song rude
sadness,u watch hills london u realise tourture weeks weeks late just watch itonlinelol
surprise,got news
sadness,storm electricity gone
love,agreed
sadness,sleepy late fail
worry,lady gaga tweeted impressed video leaking just know
sadness,convinced wanted signals did offdamn think just lost friend
worry,oh bad hope gets better ive having sleep issues lately
fun,wondering im awake 7amwriting new songplotting evil secret plots muahahahaoh damn itnot secret anymore
neutral,topic maps talks balisage markup conference 2009 program online topicmaps
worry,ate dont know telling things food
sadness,tired think im definitely going ear infection going bed quotearlyquot
worry,way home n having 2 deal w underage girls drinking gin da bus talking bout keggersdamn feel old
sadness,im sorry people rude isaac manners know better lewd
worry,damm servers need hit 80 koxpers pass
sadness,fudge just bsd paper tired ugh hate school time sleep
worry,hate cancer hate hate hate
hate,annoying starts typing computer middle night
neutral,sleep
neutral,missed bly bus
neutral,feels strong contractions wants
neutral,socal stoked maybe tomorrow
neutral,screw 3 weeks
sadness,yeah s feel funny cause havent slept woke mum cause singing shes impressed s
worry,need skott right
neutral,work afternoon
neutral,aw unfollow
happiness,mmm better day far quite early day uds
fun,lt3 gonna twitter cause amazing lol come canada perform
worry,just picked blackberry middle street crushed
worry,feeling packing hitting sfo time year think im missing
worry,bed time hope school tomorrow dont feel right
worry,ahh hoping learn stuff way work separate things
sadness,im having problem photo twitter amfcant face
neutral,oh noooo blow tire youre reaaaally going send batman smoke
neutral,wnna bath
neutral,chocolate milk better straw lack said straw
worry,tired
neutral,time diff ive just wrapped day day stuff havent tweeting talk soonmust sleepup 6hrs
neutral,way damn sucks b ok
worry,sucks able days work money trip sad
neutral,recession hotel restructuring accounts adds bit pressure short term cope
neutral,got dibs sulu
sadness,aww onward upwards yay sad leave bet
worry,haha poor aby gets sore
sadness,diesel yaris 70mpg sad available thatd awesome
sadness,want buy great album unfortunately dont hav enuff funds quotlong time noisyquot
sadness,honestypain blech
sadness,ok passengers alive theyre dead just dont know til end
neutral,home
worry,ia havent really happy cooks choices singles
sadness,fell asleep beach didnt sunscreen lol
worry,think son flu cause def just cleaned stanky puke mess poor pumkpin
happiness,great oin amp cynthia happy dinner great cute little place bad oin got sick
neutral,bday nudges
worry,woman transfer impressions sexualmaternal threatening man weak
neutral,brothers bloom wont opening weekend el paso ill just buy brick enjoy watch brothers bloom
neutral,says miss plurking
worry,bitten blood cat way rabies bacterin 7 shots 2 months wash cats home hate water
neutral,miss voobys
neutral,elp
happiness,dude favorite sandwich place ummm did pictures
worry,sad shin ae got marriedand wasnt alex
worry,sure tweet youre news abuzz tr knights leaving quotconfirmedquot today muy triste
sadness,ohh thursday exams day wednesday
neutral,mix dentist appt afternoon rescheduled tomorrow 9am
sadness,just thinking excited guys realized sad
worry,goooood mooorning people sun definitly spring spring hail storm car dimples
sadness,love itsakey usb sticks 4gb australia
worry,fresh prince sleepy sleeps nightly routine gotta dmv early tmrw
hate,dammit hulu desktop totally screwed ability talk particular port dev servers watch code
worry,jealous mom talking want twittering making miss
worry,sleepi thinking puppy played today
worry,im suppposed sleep got amp got song stuck head quotyour jerk iknowquot blaahh
neutral,whats going sweetheart
neutral,freaking difficult systemwide spellchecker shit id settle office suite stupid unhelpful windows
worry,month summer strawberry availble chennai markets
neutral,work 6am gotta bed soon
love,correct adore just plucked arm cuz cryin better hahaha
sadness,hiii im ipodi fall asleep
sadness,dont wanna work 11830 tomorrow paid
sadness,feels sad coz wasnt able play guys
neutral,princecharming
hate,cayogial wanted come bz summer sure anymore teachers life summer sucks
worry,dropped mobile charged data data pack
hate,win sigh rakeem
neutral,oh time real
sadness,darn allergies dont like time year used problem
worry,oh minute late oh
hate,damn sucks
sadness,wanted come bz summer sure anymore teachers life summer sucks
hate,website gave virus opened windows kept popping
worry,ahh big scary bug flying room
sadness,wish knew puts throughshe stole heart gave backand occasionally likes like look
worry,nasty cough sick huge weekend ahead
neutral,stone cold crazy
neutral,shift time bbye biochem waaaaahhhhhh
neutral,im sure some1 cum play im workin til midnight
neutral,second wish rained
sadness,early happy day birth case dont make tired therapy today n just taking medicine misshu love ya
neutral,damn eric need hair played
neutral,im feel deflated ugh dog
sadness,allergies suck ducks nuts lt8gt
neutral,good day guess just retry tomorrow
hate,waraku tasteless expensive portion little waraku
love,sounds good appreciate suggestion week offline time ask refund
worry,died wait magic jack just read
hate,youstinkatrespondingtotexts
sadness,wonders karma points turned 000
happiness,need pack cali cali waittt thinking glass wine order celebrate weekend vaca work 2morrow tho
sadness,miserable feel like im gona sux
neutral,ran beer left sure eta waiting waiting waiting bleh gonna long nite methinks
worry,nose stud fell looks like ill head amsterdam today new
neutral,claire love got office 5am radio
love,pats philly 2 love mmm cheesesteak miss boyfriend love vacation
sadness,sigh im going bed just dont feel right anymore
neutral,focused tom didnt beloved barack oh vote poor president 626 votes
neutral,epicentre wheelock place tourists
sadness,depressed watching think dance
sadness,just cross cause im stuck twiddling thumbs ugh
neutral,miss 16th
neutral,know like said idea long takes investigate stuff
worry,sleep im sore
neutral,awe miss baby
neutral,chocolates just say
worry,achieving new appreciation xml build script really painful cumbersome
neutral,im awake ill nap afternoon
worry,
neutral,needs 6 hours sleep
relief,im work
fun,rip leonardo great mini fiddler crab
neutral,morning tweepleway early
sadness,day working uni today sad times
love,thanks neemah im gonna soooo close izzy far
worry,head hurts bad scream
worry,just im tired airmatras broken im pain
worry,new work wellness challenge going committed check email 10 pm 6 failed day twice
worry,new blog post blog auto insuran just auto insurance policy expired careless meanw
neutral,ma bestfriends mia wat
worry,oh meni really facecmon guys
worry,im showing age renewed tags week went 20 got insurance renewal email today went 100 dont wanna old
worry,sole supporter sole supporter
hate,dont hate finish work theres 125 hours left work time
worry,urgh stop guys
sadness,missing husband really want home
sadness,miss puppy
surprise,2 days month left 400mb left onpeak downloads
fun,didnt memo looks amazing
sadness,ive given pizza kids let fav hot ones
worry,reading tabloids peoples livesthinking im gonna baby leaves
sadness,yearling pet home died sad family
neutral,fun sun hmmm hell cold
worry,got giant splinter stuck underneath finger nail today muppetsit hurt got aid time
sadness,hate change course fans life lt3 oh havent met rob went horribly wrong
worry,feeling sad reason
sadness,fuck new pain med odd warning actually applies chan displeased
sadness,just uploaded new blog painful story 80s year old man cried wanted die sad
neutral,dont think want details
neutral,hi mary poppins
worry,addicting kind curse night time everytime feel like making music
