content,sentiment
ian going matinee tomorrow thats plan leastits going expensive 3d night,worry
yeeeeahi better think,happiness
think adding apple shampoo 100 fav blink tune 3 times ive seen guys heard live,neutral
feel like person world iphone,sadness
patio weather kirkland launchyerboat weather im missing boat,sadness
hello friendyou gbw doing glad twitter learn german,happiness
happy mothers day ur mom hope wonderful day,worry
wants new phone ugh bday 3 weeks yall,fun
feeling better breakfast time,happiness
turn closed caption read watch animal planet tiime,happiness
wine,neutral
minutes shopping demi lovatoback demi lovatobehind enemy lines seen titanic 2 trailer really good,love
got exam tuesday wish luck pray thank xxx,neutral
thanks,neutral
good luck twpp hours time think way home fun,happiness
goodnight actually great night seeing daniel tomorrow,fun
hello thank followfridays people forget sorry,sadness
meet folks whilegonna b working weekend,neutral
wish wasnt raining,sadness
okay,neutral
dude didnt say bye,surprise
twitter criado,neutral
oficially mothers day hug amp kissa ur mom today u everyday cooking 4 good idea im making enchiladas suizas,love
good time sun amp dayan ny,happiness
good luck going sleep im working stupid paper worries ur u ready record album,worry
im going try sleeeeeeep goonight twitter nice mothers day,love
traffic jam outside chicago feel quotoffice spacequot right,neutral
think time snack day 7 sent oh procrastination,worry
rofl love trina,neutral
im soo jealous right,happiness
whaaaaaaaaaat thas hot b super nice,fun
hanging bri,neutral
apparently getting anymore sad,sadness
till ice cream,sadness
weather ugly n la really cold,sadness
eggs today shame looking forward egg bacon sandwich,sadness
happy 1 year lt3,love
hmmm thinking taking feel better morning think spoke early,happiness
looked weather greece weekend80 sunny omgz,happiness
baby cardinal fallen nest dont want attacked mom bird dont want dog bird,worry
kids summer pool taken tanning girls haiku yayschoolisout sarcasm,worry
ill miss yall regards,sadness
best revising da weekend got exam monday 2 hours,worry
hahahaha didnt know said sheeeeittt dont picture bwaaaahhh,worry
lol convo just consists miss love gotta love,love
hate bureaucracy ahwell aussies going good,hate
home chelseas jam sessions lt3 chelsea abby luh,love
platypuses mammals lay eggs,hate
day 2 work day 1 went allllllllright exposed swine flu 8 hours thats ok think just wash hands,neutral
truly enlightening,worry
hope arent allergic dust choc syrup,worry
sheboygan teekay kids fight angus ryan mall mcdonalds high party beer pong drink drive home fun night,neutral
snl gonna great tonight,fun
sad wife florida hes sick lexington,worry
doesnt work tomorrow good times revision,happiness
drag hell soundtrack christopher young delayed june 2nd july 7 thats sucks pretty bad,sadness
yeah actually went room just didnt look counter,neutral
good morning,neutral
think regret telling rick xbox im losing twitter want jimbo haha,fun
pee fucking coffee sooo long break time 77 letterswhat write writeoh used,worry
love body tell sleep needs good mindful mealtimes,happiness
pleaseee shoutout love georgia uk,love
thanks follow,neutral
just shame wisdom comes age age destroys youth,hate
says happy mothers day moms,love
bought ludi rug dogs best,happiness
ito en tea apple delicious looks like need don quihote buy goodnight,worry
great song,love
mmmm honey mustard chicken w rice amp veges,happiness
new tattoo design check placement idea,neutral
ha apparently talk posh accent according ppl saw shire lastdressed feminely makes chuckle,happiness
potshad lunch eatin chocolatelol,worry
haha yeah know yeah things okay pretty im slowly sorting things exams coming d haha,love
free hugs super fluffy robe,love
hot office air broken weeks fans round office just push hot air really helping,worry
lt paranoid actually like better performed live studio version,worry
happy birthday hope doing great birthday day,love
sand sd 790 pismo weekend canon powershot broken 2nd year buy time,neutral
guess missed beer good time,sadness
nice funalthough fun lol,surprise
agh freaking going wales gtlt packed,worry
yeha broke page damit im trying fix hope dont bank communityfirstandtrust,worry
u online hotmail,neutral
daddy lives manchester love d hull o bitch mate wanna,love
better yes unf unf lt3 lisa gotten btw smacked,happiness
